Zone,SFD,SFA,MF234,MF5plus,MH,DevCapacity,DevLandUse
456,1,1,1,1,1,298.56137,472.9123722
457,1,1,1,1,1,233.60164,3220.88956
458,1,1,1,1,1,161.95387,107.9583958
459,1,1,1,1,1,388.45944,696.8375844
460,1,1,1,1,1,210.14131,980.2085979
461,1,1,1,1,1,524.1086,1124.988243
462,1,1,1,1,1,372.26132,4301.519317
463,1,1,1,1,1,265.69046,1726.725243
465,1,1,1,1,1,418.18497,1419.910339
466,1,1,1,1,1,141.30151,876.3408105
467,1,1,1,1,1,662.05457,279.7310775
468,1,1,1,1,1,187.82864,5017.375356
469,1,1,1,1,1,194.61417,4469.590179
470,1,1,1,1,1,190.15594,2136.900075
471,1,1,1,1,1,494.8937,57.88083982
472,1,1,1,1,1,532.74817,121.2652348
473,1,1,1,1,1,783.5309,596.534782
474,1,1,1,1,1,1159.1252,1132.308931
475,1,1,1,1,1,341.04147,55.6662976
476,1,1,1,1,1,210.5668,4784.707418
477,1,1,1,1,1,331.33444,4915.819089
478,1,1,1,1,1,133.6288,2407.72675
479,1,1,1,1,1,254.60925,3939.676371
480,1,1,1,1,1,192.73047,4076.154001
481,1,1,1,1,1,314.14172,8469.140621
482,1,1,1,1,1,246.62248,952.8110805
483,1,1,1,1,1,287.1121,2452.615051
484,1,1,1,1,1,239.40315,4649.823503
485,1,1,1,1,1,212.63226,6680.983199
486,1,1,1,1,1,138.77435,2275.275761
487,1,1,1,1,1,103.47978,2762.08935
488,1,1,1,1,1,152.70256,43.42922961
489,1,1,1,1,1,349.4976,2051.970629
490,1,1,1,1,1,401.45502,213.349359
491,1,1,1,1,1,371.3578,2643.841677
492,1,1,1,1,1,293.8144,3766.083986
493,1,1,1,1,1,278.428,337.2801649
494,1,1,1,1,1,137.84671,327.2939385
495,1,1,1,1,1,4,465.0780968
496,1,1,1,1,1,775.6716,717.2050517
497,1,1,1,1,1,496.00677,2511.593067
498,1,1,1,1,1,512.69385,21.87046794
499,1,1,1,1,1,96,23.23599136
500,1,1,1,1,1,81.52733,529.0588455
501,1,1,1,1,1,543.3558,990.1988445
502,1,1,1,1,1,66.232574,1248.869257
503,1,1,1,1,1,283.44766,58.87856472
504,1,1,1,1,1,1753.8977,13.49336399
505,1,1,1,1,1,400.04004,17.01223263
506,1,1,1,1,1,280.8446,6.991480672
507,1,1,1,1,1,1222.3912,10.24589223
508,1,1,1,1,1,41.541523,48.39699921
509,1,1,1,1,1,85.207954,6.684128488
510,1,1,1,1,1,30.638754,7.028330125
511,1,1,1,1,1,990.6581,10.67106088
512,1,1,1,1,1,1156.6443,7.940658883
513,1,1,1,1,1,11,46.43215726
514,1,1,1,1,1,297.10867,34.28474377
